"","ID","CODEPER","REL","PCR24_01","PCR24_02","PCR24_03","PCR24_04","PCR24_05","PCR24_06","PCR24_07","PCR24_08","PCR24_09","PCR24_10","PCR24_11","PCR24_12","PCR24_13","PCR24_14","PCR24_15","PCR24_16","PCR24_17","PCR24_18","PCR24_19","PCR24_20","PCR24_21","SITE"
"589",500265,24,0,5,5,4,3,5,5,5,3,5,5,5,4,5,5,5,2,3,2,5,2,3,5
"590",500270,24,0,4,4,4,2,2,2,3,2,2,2,4,2,3,3,3,2,3,2,2,2,3,5
"591",500271,24,0,4,3,3,2,4,5,4,3,4,3,4,4,3,3,3,2,2,2,2,2,2,5
"592",500273,24,0,5,5,5,3,4,3,2,3,5,4,5,5,4,2,5,2,3,1,3,3,5,5
"593",500274,24,0,4,3,3,2,3,2,2,2,2,3,4,2,4,2,2,2,3,2,2,2,2,5
"594",500299,24,0,5,5,5,3,5,3,3,5,3,4,3,3,4,3,4,2,4,2,1,1,1,5
"595",500320,24,0,4,2,2,1,3,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,5
"596",500323,24,0,3,3,2,2,4,2,3,4,5,3,4,3,4,4,2,2,3,3,3,2,3,5
"597",500328,24,0,5,4,4,4,5,5,4,4,4,3,3,4,4,3,3,2,4,2,4,5,4,5
"598",500329,24,0,3,2,2,2,2,2,2,2,2,2,1,2,3,3,2,2,3,2,3,3,3,5
"599",500330,24,0,4,4,4,4,5,2,3,3,4,5,3,3,5,3,4,3,4,2,4,4,3,5
"600",500333,24,0,1,2,3,1,1,3,4,1,1,3,1,3,2,1,3,1,1,1,3,2,1,5
"601",500340,24,0,4,4,4,4,4,2,3,3,3,3,4,2,4,4,3,2,3,2,3,3,3,5
"602",500343,24,0,1,1,3,2,2,2,2,3,1,2,2,2,2,3,2,2,2,2,2,2,2,5
"603",500347,24,0,5,2,2,5,5,5,4,4,4,3,5,5,4,5,5,3,4,5,3,5,5,5
"604",500365,24,0,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,5
"605",500374,24,0,3,4,4,4,5,4,4,3,3,3,4,3,3,2,4,2,2,2,3,3,4,5
"606",500406,24,0,3,2,2,2,3,3,2,3,3,2,5,3,3,3,4,2,3,1,2,3,2,5
"607",500408,24,0,3,3,2,2,3,2,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,5
"608",500416,24,0,4,4,4,4,5,4,3,4,3,3,3,2,3,4,4,2,3,3,3,4,3,5
"609",500429,24,0,4,2,4,3,4,5,3,3,3,4,3,3,4,3,4,2,3,2,4,4,4,5
"610",500432,24,0,3,3,4,3,3,2,2,3,2,2,2,2,3,4,3,2,2,2,2,2,2,5
"611",500433,24,0,4,5,2,1,4,1,1,3,4,2,3,5,4,3,4,1,2,1,1,1,2,5
"612",500435,24,0,4,2,3,4,4,4,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,5
"613",500441,24,0,4,4,3,4,4,4,4,4,3,3,4,4,4,3,3,2,3,3,2,3,3,5
"614",500456,24,0,5,5,3,3,4,3,4,3,5,3,3,4,4,3,5,2,3,2,4,4,4,5
"615",500468,24,0,3,3,2,2,2,2,3,2,1,2,2,2,2,2,3,2,1,1,1,1,2,5
"616",500469,24,0,3,2,3,2,3,3,4,2,2,2,2,2,3,2,3,2,3,2,3,2,3,5
"617",500480,24,0,4,4,5,5,5,4,5,4,3,3,3,3,4,4,3,3,3,2,4,4,5,5
"618",500492,24,0,4,2,2,1,3,1,1,4,1,2,3,2,4,3,3,2,3,2,2,2,2,5
"619",500493,24,0,2,4,4,2,2,3,4,3,3,4,2,4,4,3,3,2,3,2,4,2,4,5
"620",500499,24,0,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
"621",500520,24,0,3,5,5,4,3,5,2,3,4,4,2,5,5,3,5,2,2,3,3,2,3,5
"622",500527,24,0,4,3,3,2,4,2,2,3,2,3,4,2,3,2,2,2,3,3,2,3,2,5
"623",500533,24,0,4,3,4,3,3,2,5,3,4,5,3,3,4,3,4,3,2,2,2,3,2,5
"624",500535,24,0,3,4,4,3,3,5,4,3,4,4,4,4,4,4,4,3,3,2,2,3,3,5
"625",500536,24,0,5,4,2,4,4,3,2,2,3,3,3,3,3,4,3,2,3,2,2,3,3,5
"626",500540,24,0,4,3,2,3,4,4,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,5
"627",500544,24,0,3,4,4,2,2,3,2,2,2,2,2,3,3,2,3,2,2,1,1,2,2,5
"628",500550,24,0,4,3,2,1,4,2,1,3,2,4,3,2,4,4,3,1,2,1,1,3,1,5
"629",500557,24,0,5,1,4,3,4,4,3,4,4,3,4,4,4,4,5,3,4,2,3,3,4,5
"630",500567,24,0,5,5,4,4,5,5,3,4,5,3,4,4,5,3,4,2,4,2,4,3,4,5
"631",500572,24,0,2,3,2,1,2,2,1,2,2,2,2,2,3,2,4,2,2,1,2,2,2,5
"632",500574,24,0,3,2,2,3,2,4,2,1,2,1,2,3,3,2,2,2,2,2,2,3,2,5
"633",500575,24,0,4,3,2,1,3,2,2,2,1,2,5,3,3,4,3,1,1,1,2,2,1,5
"634",500576,24,0,5,4,3,2,5,4,2,4,3,2,4,2,4,4,4,2,2,2,2,3,3,5
"635",500580,24,0,2,3,1,2,1,3,2,2,3,2,2,2,4,2,3,2,1,1,1,2,2,5
"636",500584,24,0,3,4,4,2,2,4,3,2,2,3,3,4,3,2,4,2,2,2,4,3,2,5
"637",500587,24,0,3,2,3,3,3,3,2,3,2,3,3,3,3,3,2,2,3,2,3,3,3,5
"638",500588,24,0,4,5,4,4,2,3,2,4,3,2,4,4,3,3,3,2,2,2,3,4,4,5
"639",500599,24,0,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,2,2,5
"640",500603,24,0,3,2,2,1,3,1,1,2,1,1,4,1,2,2,3,1,1,1,1,1,1,5
"641",500606,24,0,4,3,3,3,4,2,3,3,2,3,4,2,4,4,3,2,2,2,2,3,3,3
"642",500625,24,0,4,5,3,4,4,3,3,4,2,4,3,3,4,2,3,2,3,1,3,3,3,5
"643",500634,24,0,1,1,4,3,4,4,3,3,3,3,4,4,4,3,5,2,3,2,3,3,3,5
"644",500642,24,0,4,3,4,1,5,2,3,4,2,3,4,2,3,2,4,2,5,2,3,3,3,5
"645",500653,24,0,4,3,4,4,3,3,3,2,5,3,4,4,5,4,4,2,4,2,2,3,3,5
"646",500655,24,0,4,4,4,2,4,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,5
"647",500661,24,0,3,2,2,2,4,4,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,5
"648",500663,24,0,4,5,3,3,4,4,2,2,3,3,2,3,3,3,3,1,2,1,2,2,3,5
"649",500671,24,0,2,3,5,3,2,4,1,1,3,2,2,4,2,2,2,2,2,2,2,2,2,5
"650",500682,24,0,4,4,4,3,4,2,4,4,4,4,4,3,4,4,4,2,3,2,NA,3,3,5
"651",500689,24,0,5,5,2,2,5,4,2,4,2,2,4,3,4,4,4,2,4,2,3,3,2,5
"652",500694,24,0,3,5,3,3,3,4,2,3,3,2,3,3,3,3,4,2,1,2,2,2,2,5
"653",500699,24,0,3,3,3,1,3,2,2,2,2,3,3,2,5,3,4,3,3,2,2,2,2,5
"654",500702,24,0,4,3,3,4,4,2,3,3,2,2,4,3,3,4,3,2,3,3,3,3,3,5
"655",500706,24,0,4,1,3,1,3,2,3,2,2,2,3,1,3,2,3,1,2,1,1,3,2,5
"656",500717,24,0,4,5,3,1,2,3,2,1,1,3,3,3,3,4,3,2,2,1,2,3,2,5
"657",500724,24,0,5,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,4,3,3,4,4,5
"658",500733,24,0,2,2,3,2,2,3,2,2,3,3,4,2,3,2,2,2,2,2,2,2,2,5
"659",500743,24,0,3,4,3,5,3,3,3,2,3,4,5,4,5,3,3,3,4,2,3,3,3,5
"660",500758,24,0,5,4,3,1,4,2,3,4,2,3,3,3,2,3,2,2,2,2,3,2,2,5
"661",500773,24,0,3,5,5,4,5,5,3,4,5,4,5,5,4,5,4,3,5,3,5,3,5,5
"662",500775,24,0,5,5,3,5,5,5,3,3,5,3,5,5,5,5,5,3,5,3,5,4,5,5
"663",500776,24,0,3,5,3,1,5,3,3,3,2,2,4,2,4,3,4,4,4,2,3,3,3,5
"664",500780,24,0,3,5,4,4,3,4,5,3,3,3,3,3,5,4,4,4,4,2,4,4,5,5
"665",500781,24,0,3,2,3,2,3,1,2,2,1,2,4,2,3,2,2,2,2,2,2,2,2,5
"666",500787,24,0,3,5,5,5,4,5,5,4,3,3,5,5,5,3,5,3,5,3,5,4,4,5
"667",500808,24,0,4,3,3,4,4,3,3,3,2,3,3,2,3,3,4,2,3,2,3,3,3,5
"668",500813,24,0,3,4,4,4,4,4,3,3,4,3,3,3,3,3,2,3,3,2,3,2,3,5
"669",500817,24,0,2,3,3,2,2,3,2,2,3,2,3,4,4,2,3,2,4,1,3,2,3,5
"670",500827,24,0,3,4,2,3,3,5,3,3,2,2,2,2,3,2,2,2,2,2,4,3,2,5
"671",500828,24,0,4,5,3,3,4,3,2,4,2,2,4,3,4,2,3,2,3,3,3,2,3,5
"672",500832,24,0,5,5,3,5,5,5,3,3,3,5,5,2,5,3,5,3,4,2,2,2,4,5
"673",500834,24,0,3,3,2,1,3,3,5,3,2,2,3,2,4,3,4,2,2,2,2,3,2,5
"674",500865,24,0,4,4,3,3,4,4,3,3,4,2,4,5,4,4,4,3,4,2,3,3,3,5
"675",500879,24,0,5,4,2,2,3,1,2,2,2,2,3,1,2,3,2,1,1,2,1,1,1,5
"676",600034,24,0,3,3,2,1,2,1,1,2,2,2,3,2,3,2,3,2,2,1,2,2,2,6
"677",600044,24,0,4,5,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,6
"678",600052,24,0,3,2,3,2,2,2,2,2,3,2,2,3,4,2,4,2,2,2,2,2,2,6
"679",600065,24,0,5,3,3,3,4,3,3,4,2,3,3,2,3,3,3,2,2,2,2,2,2,6
"680",600070,24,0,5,5,3,5,5,5,3,5,4,4,4,4,4,5,4,4,5,2,4,4,5,6
"681",600075,24,0,4,5,3,4,5,5,3,5,3,3,4,4,5,4,3,3,5,2,5,4,4,6
"682",600089,24,0,3,4,2,1,3,2,5,2,2,3,3,3,4,3,4,2,2,2,3,2,2,6
"683",600097,24,0,5,4,3,4,4,3,2,3,2,2,3,4,4,4,3,2,3,2,3,4,4,6
"684",600114,24,0,3,3,2,1,2,1,1,1,1,2,2,2,4,2,2,1,1,1,1,1,1,6
"685",600119,24,0,4,5,2,3,3,5,2,3,5,2,5,4,4,4,4,1,2,2,2,2,3,6
"686",600123,24,0,4,2,2,4,3,3,2,3,3,3,3,3,3,3,3,2,3,2,2,3,3,6
"687",600128,24,0,5,4,2,5,5,5,3,4,3,4,4,3,4,4,3,3,4,2,2,3,4,6
"688",600134,24,0,3,5,3,3,4,4,5,3,5,3,3,5,4,3,4,2,2,1,3,3,2,6
"689",600140,24,0,5,5,4,2,5,3,3,3,3,3,4,3,4,4,5,3,3,2,3,3,2,6
"690",600141,24,0,3,2,1,1,3,2,1,2,1,3,2,1,1,1,1,1,2,1,2,1,2,6
"691",600142,24,0,3,3,3,3,3,2,3,2,2,2,4,2,2,3,3,1,2,3,3,2,2,6
"692",600146,24,0,5,2,3,2,5,4,3,4,2,2,3,2,3,4,3,2,2,2,4,2,2,6
"693",600170,24,0,4,5,4,3,4,2,3,2,3,4,4,3,4,3,4,3,4,2,4,3,3,6
"694",600180,24,0,3,3,3,1,3,3,2,2,2,2,2,2,4,3,3,2,1,1,3,3,2,6
"695",600181,24,0,3,5,3,2,4,3,3,2,2,3,2,3,3,3,4,2,2,2,2,2,2,6
"696",600190,24,0,3,2,3,2,4,2,3,3,4,2,3,3,3,2,3,2,2,2,2,2,2,6
